"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"Black 1.sav @ [01] (BOX 1)-11: 0011 - METAPOD - C84C680CA8A6.pk5","METAPOD","Metapod","Calm","M","6165","Fighting","Shed Skin","Tackle","String Shot","(None)","(None)","(None)","27","8","15","11","12","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","680CA8A6","680CA8A6","21","21","26","30","30","14","621","8","0","0","0","0","0","2","0","0","0","0","0","0","N/A","-1","0","0","0","0","8","0","False","False","False","False","27719","26186","321","35","40","0","0","0","0","0","0","(None)","(None)","(None)","(None)","51276","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-12: 0012 - BUTTERFREE - 90EF040ED80B.pk5","BUTTERFREE","Butterfree","Hardy","F","7040","Steel","Compound Eyes","Harden","Confusion","Supersonic","Whirlwind","(None)","66","27","36","50","45","40","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","040ED80B","040ED80B","13","4","26","30","7","0","14725","24","18","2","18","0","0","24","0","0","0","0","0","0","N/A","-1","1","0","0","0","24","0","False","False","False","False","27719","26186","321","30","25","20","20","0","0","0","0","(None)","(None)","(None)","(None)","37103","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-13: 0013 - WEEDLE - 41E46377BBE6.pk5","WEEDLE","Weedle","Calm","M","6930","Rock","Shield Dust","Poison Sting","String Shot","(None)","(None)","(None)","19","8","8","7","8","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","6377BBE6","6377BBE6","11","23","6","19","28","14","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","35","40","0","0","0","0","0","0","(None)","(None)","(None)","(None)","16868","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-14: 0014 - KAKUNA - F94F8A2C5AB5.pk5","KAKUNA","Kakuna","Jolly","M","6675","Ghost","Shed Skin","Poison Sting","String Shot","(None)","(None)","(None)","26","10","14","9","10","12","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","8A2C5AB5","8A2C5AB5","11","14","13","31","20","13","680","8","0","0","0","0","0","2","0","0","0","0","0","0","N/A","-1","0","0","0","0","8","0","False","False","False","False","27719","26186","321","35","40","0","0","0","0","0","0","(None)","(None)","(None)","(None)","63823","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-15: 0015 - BEEDRILL - 803F81AEC212.pk5","BEEDRILL","Beedrill","Timid","F","2167","Rock","Swarm","Poison Sting","String Shot","Harden","Fury Attack","(None)","44","26","17","20","31","29","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","81AEC212","81AEC212","11","16","6","21","28","10","3216","14","16","0","10","0","0","11","0","0","0","0","0","0","N/A","-1","1","0","0","0","14","0","False","False","False","False","27719","26186","321","35","40","30","20","0","0","0","0","(None)","(None)","(None)","(None)","32831","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-16: 0016 - PIDGEY - 9F728FF1F9A7.pk5","PIDGEY","Pidgey","Hardy","M","3786","Poison","Keen Eye","Tackle","Sand Attack","(None)","(None)","(None)","20","9","9","9","9","11","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","8FF1F9A7","8FF1F9A7","31","6","4","20","20","27","135","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","35","15","0","0","0","0","0","0","(None)","(None)","(None)","(None)","40818","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-17: 0017 - PIDGEOTTO - 3BE62B3414D2.pk5","PIDGEOTTO","Pidgeotto","Modest","M","2044","Steel","Keen Eye","Tackle","Sand Attack","Gust","Quick Attack","(None)","52","28","30","30","26","32","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","2B3414D2","2B3414D2","11","31","29","31","22","5","4021","18","0","0","0","3","0","14","0","0","0","0","0","0","N/A","-1","0","0","0","0","18","0","False","False","False","False","27719","26186","321","35","15","35","30","0","0","0","0","(None)","(None)","(None)","(None)","15334","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-18: 0018 - PIDGEOT - 5B4DB041AE12.pk5","PIDGEOT","Pidgeot","Bashful","F","0970","Ghost","Keen Eye","Wing Attack","Sand Attack","Quick Attack","(None)","(None)","227","163","132","137","118","176","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","B041AE12","B041AE12","30","31","4","27","14","27","365775","71","47","130","101","77","24","131","0","0","0","0","0","0","N/A","-1","1","0","0","0","71","0","False","False","False","False","27719","26186","321","35","15","30","0","0","0","0","0","(None)","(None)","(None)","(None)","23373","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-19: 0019 - RATTATA - 5DFDEA766BF8.pk5","RATTATA","Rattata","Relaxed","M","4145","Flying","Run Away","Tackle","Tail Whip","(None)","(None)","(None)","19","11","9","8","9","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","EA766BF8","EA766BF8","20","9","15","26","20","14","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","35","30","0","0","0","0","0","0","(None)","(None)","(None)","(None)","24061","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-20: 0020 - RATICATE - 91B92E2F8AD3.pk5","RATICATE","Raticate","Quiet","M","5279","Steel","Guts","Tackle","Tail Whip","Quick Attack","Hyper Fang","(None)","57","39","32","28","35","47","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","2E2F8AD3","2E2F8AD3","27","5","15","5","14","19","9248","20","4","28","2","0","1","112","0","0","0","0","0","0","N/A","-1","0","0","0","0","20","0","False","False","False","False","27719","26186","321","35","30","30","15","0","0","0","0","(None)","(None)","(None)","(None)","37305","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-21: 0021 - SPEAROW - 7A4AC92BDAE8.pk5","SPEAROW","Spearow","Naughty","M","0632","Fighting","Keen Eye","Peck","Growl","Leer","Fury Attack","(None)","36","25","15","15","11","23","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","C92BDAE8","C92BDAE8","20","22","20","16","4","0","2197","13","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","13","0","False","False","False","False","27719","26186","321","35","40","30","20","0","0","0","0","(None)","(None)","(None)","(None)","31306","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-22: 0022 - FEAROW - BD34445E09CD.pk5","FEAROW","Fearow","Docile","M","2482","Steel","Keen Eye","Peck","Growl","Leer","Pursuit","(None)","61","46","32","29","32","54","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","445E09CD","445E09CD","25","24","4","0","15","28","8116","20","12","8","14","4","0","75","0","0","0","0","0","0","N/A","-1","0","0","0","0","20","0","False","False","False","False","27719","26186","321","35","40","30","20","0","0","0","0","(None)","(None)","(None)","(None)","48436","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-23: 0023 - EKANS - 0C05AE3D8743.pk5","EKANS","Ekans","Relaxed","F","1327","Electric","Shed Skin","Wrap","Leer","(None)","(None)","(None)","19","11","11","10","11","9","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","AE3D8743","AE3D8743","20","0","26","31","13","14","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","5","0","False","False","False","False","27719","26186","321","20","30","0","0","0","0","0","0","(None)","(None)","(None)","(None)","3077","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-24: 0024 - ARBOK - ADB34A7BB134.pk5","ARBOK","Arbok","Lonely","F","8041","Grass","Intimidate","Wrap","Leer","Poison Sting","Bite","(None)","63","52","39","42","45","50","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","4A7BB134","4A7BB134","4","9","24","28","9","31","15016","24","3","6","6","2","4","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","24","0","False","False","False","False","27719","26186","321","20","30","35","25","0","0","0","0","(None)","(None)","(None)","(None)","44467","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-25: 0025 - PIKACHU - A8712F1F996C.pk5","PIKACHU","Pikachu","Rash","F","5838","Dragon","Static","Thunder Shock","Charm","Double Team","Thunder Wave","(None)","29","18","12","16","13","24","Poké Transfer","(None)","Poké Ball","SEAN","Sapphire","English","True","2F1F996C","2F1F996C","20","28","19","1","23","15","1156","10","4","0","0","0","0","2","0","0","0","0","0","0","N/A","-1","1","0","0","0","10","0","False","False","False","False","47942","55818","3113","30","20","15","20","0","0","0","0","(None)","(None)","(None)","(None)","43121","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-26: 0026 - RAICHU - 20A7AAE8BFCB.pk5","RAICHU","Raichu","Gentle","M","0676","Ghost","Static","Thunder Wave","Quick Attack","Double Team","Slam","(None)","70","57","36","57","55","60","Poké Transfer","(None)","Safari Ball","SEAN","Sapphire","English","True","AAE8BFCB","AAE8BFCB","20","28","31","31","22","23","16241","25","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","25","0","False","False","False","False","47942","55818","3113","20","30","15","20","0","0","0","0","(None)","(None)","(None)","(None)","8359","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-27: 0027 - SANDSHREW - C0AE233A7E24.pk5","SANDSHREW","Sandshrew","Modest","F","2979","Rock","Sand Veil","Scratch","(None)","(None)","(None)","(None)","21","11","14","7","9","10","Poké Transfer","(None)","Poké Ball","SEAN","Sapphire","English","True","233A7E24","233A7E24","24","13","12","1","24","28","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","5","0","False","False","False","False","47942","55818","3113","35","0","0","0","0","0","0","0","(None)","(None)","(None)","(None)","49326","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-28: 0028 - SANDSLASH - C44A5B754ADE.pk5","SANDSLASH","Sandslash","Lax","M","0565","Poison","Sand Veil","Slash","Defense Curl","Sand Attack","Poison Sting","(None)","70","54","63","31","32","37","Poké Transfer","(None)","Ultra Ball","SEAN","Sapphire","English","True","5B754ADE","5B754ADE","13","13","12","26","26","13","12604","23","11","5","3","0","4","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","23","0","False","False","False","False","47942","55818","3113","20","40","15","35","0","0","0","0","(None)","(None)","(None)","(None)","50250","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-29: 0029 - NIDORAN♀ - 123691656483.pk5","NIDORAN♀","Nidoran♀","Serious","F","7868","Ghost","Poison Point","Growl","Scratch","(None)","(None)","(None)","21","9","11","10","10","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","91656483","91656483","11","2","25","29","20","29","135","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","5","0","False","False","False","False","27719","26186","321","40","35","0","0","0","0","0","0","(None)","(None)","(None)","(None)","4662","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-30: 0030 - NIDORINA - 4CDA22B17218.pk5","NIDORINA","Nidorina","Quirky","F","2581","Ghost","Poison Point","Bite","Scratch","Tail Whip","Double Kick","(None)","62","32","38","33","31","28","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","22B17218","22B17218","21","13","30","31","20","5","6233","20","0","5","4","0","2","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","20","0","False","False","False","False","27719","26186","321","25","35","30","30","0","0","0","0","(None)","(None)","(None)","(None)","19674","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-01: 0031 - NIDOQUEEN - 369495EB5CAD.pk5","NIDOQUEEN","Nidoqueen","Rash","F","6440","Ground","Poison Point","Double Kick","Poison Sting","Bite","Helping Hand","(None)","88","50","58","51","48","47","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","95EB5CAD","95EB5CAD","11","5","25","8","12","5","15426","27","1","0","0","2","2","1","0","0","0","0","0","0","N/A","-1","1","0","0","0","27","0","False","False","False","False","27719","26186","321","30","35","25","20","0","0","0","0","(None)","(None)","(None)","(None)","13972","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-02: 0032 - NIDORAN♂ - 1BCAC7ED8902.pk5","NIDORAN♂","Nidoran♂","Modest","M","2525","Steel","Poison Point","Leer","Peck","(None)","(None)","(None)","19","9","10","11","10","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","C7ED8902","C7ED8902","1","21","25","31","22","5","135","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","30","35","0","0","0","0","0","0","(None)","(None)","(None)","(None)","7114","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-03: 0033 - NIDORINO - 05C93CCFC438.pk5","NIDORINO","Nidorino","Rash","M","7966","Ghost","Poison Point","Leer","Peck","Horn Attack","Double Kick","(None)","59","39","30","33","27","31","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","3CCFC438","3CCFC438","26","27","12","19","24","3","6406","20","3","1","2","2","2","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","20","0","False","False","False","False","27719","26186","321","30","35","25","30","0","0","0","0","(None)","(None)","(None)","(None)","1481","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-04: 0034 - NIDOKING - 8672C405F893.pk5","NIDOKING","Nidoking","Lonely","M","1938","Psychic","Poison Point","Double Kick","Poison Sting","Horn Attack","Helping Hand","(None)","88","67","50","57","50","56","Poké Transfer","(None)","Safari Ball","RED","FireRed","English","True","C405F893","C405F893","0","3","17","5","1","2","21760","30","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","30","0","False","False","False","False","27719","26186","321","30","35","25","20","0","0","0","0","(None)","(None)","(None)","(None)","34418","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-05: 0035 - CLEFAIRY - 06F04DB7F0CE.pk5","CLEFAIRY","Clefairy","Mild","M","6063","Fighting","Cute Charm","Pound","Charm","Encore","(None)","(None)","27","12","9","15","14","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","4DB7F0CE","4DB7F0CE","11","24","0","14","12","14","296","7","0","0","0","0","0","2","0","0","0","0","0","0","N/A","-1","0","0","0","0","7","0","False","False","False","False","27719","26186","321","35","20","5","0","0","0","0","0","(None)","(None)","(None)","(None)","1776","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-06: 0036 - CLEFABLE - DE9BC40D373F.pk5","CLEFABLE","Clefable","Sassy","F","7782","Ice","Cute Charm","Pound","Growl","Encore","Sing","(None)","63","32","31","34","40","24","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","C40D373F","C40D373F","23","24","8","1","13","11","4394","17","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","17","0","False","False","False","False","27719","26186","321","35","40","5","15","0","0","0","0","(None)","(None)","(None)","(None)","56987","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-07: 0037 - VULPIX - 196CE08C7339.pk5","VULPIX","Vulpix","Gentle","F","4726","Rock","Flash Fire","Ember","Tail Whip","(None)","(None)","(None)","18","9","9","11","13","12","Poké Transfer","(None)","Poké Ball","SEAN","Sapphire","English","True","E08C7339","E08C7339","0","7","20","27","18","28","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","5","0","False","False","False","False","47942","55818","3113","25","30","0","0","0","0","0","0","(None)","(None)","(None)","(None)","6508","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-08: 0038 - NINETALES - A1769043E267.pk5","NINETALES","Ninetales","Hardy","F","3652","Dark","Flash Fire","Will-O-Wisp","Confuse Ray","Imprison","Flamethrower","(None)","86","50","53","59","63","69","Poké Transfer","(None)","Ultra Ball","SEAN","Sapphire","English","True","9043E267","9043E267","17","5","17","27","3","21","25077","29","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","29","0","False","False","False","False","47942","55818","3113","15","10","10","15","0","0","0","0","(None)","(None)","(None)","(None)","41334","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-09: 0039 - JIGGLYPUFF - 249A74782E76.pk5","JIGGLYPUFF","Jigglypuff","Calm","F","2881","Fire","Cute Charm","Sing","Charm","Defense Curl","(None)","(None)","35","10","9","11","11","9","Poké Transfer","(None)","Poké Ball","SEAN","Sapphire","English","True","74782E76","74782E76","31","11","18","8","23","28","344","7","0","0","0","0","0","2","0","0","0","0","0","0","N/A","-1","1","0","0","0","7","0","False","False","False","False","47942","55818","3113","15","20","40","0","0","0","0","0","(None)","(None)","(None)","(None)","9370","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-10: 0040 - WIGGLYTUFF - 86DBB6414C1F.pk5","WIGGLYTUFF","Wigglytuff","Naive","F","8011","Water","Cute Charm","Pound","Disable","Rollout","Double Slap","(None)","108","42","28","41","27","31","Poké Transfer","(None)","Ultra Ball","SEAN","Sapphire","English","True","B6414C1F","B6414C1F","31","16","6","0","9","13","12225","24","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","1","0","0","0","24","0","False","False","False","False","47942","55818","3113","35","20","20","10","0","0","0","0","(None)","(None)","(None)","(None)","34523","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-11: 0041 - ZUBAT - 8CFF635150DA.pk5","ZUBAT","Zubat","Careful","M","1649","Psychic","Inner Focus","Leech Life","(None)","(None)","(None)","(None)","19","10","9","7","9","11","Poké Transfer","(None)","Poké Ball","SEAN","Sapphire","English","True","635150DA","635150DA","11","29","16","7","19","28","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","47942","55818","3113","15","0","0","0","0","0","0","0","(None)","(None)","(None)","(None)","36095","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-12: 0042 - GOLBAT - F2BACA529C78.pk5","GOLBAT","Golbat","Modest","F","2757","Dragon","Inner Focus","Leech Life","Wing Attack","Astonish","Bite","(None)","69","36","39","38","41","49","Poké Transfer","(None)","Poké Ball","SEAN","Sapphire","English","True","CA529C78","CA529C78","17","7","16","7","17","17","10950","22","11","0","2","6","2","13","0","0","0","0","0","0","N/A","-1","1","0","0","0","22","0","False","False","False","False","47942","55818","3113","15","35","15","25","0","0","0","0","(None)","(None)","(None)","(None)","62138","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-13: 0043 - ODDISH - 890181940A8D.pk5","ODDISH","Oddish","Bashful","M","4451","Electric","Chlorophyll","Poison Powder","Stun Spore","Sleep Powder","Acid","(None)","64","31","32","48","38","23","Poké Transfer","(None)","Safari Ball","SEAN","Sapphire","English","True","81940A8D","81940A8D","29","5","1","22","3","13","11735","25","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","25","0","False","False","False","False","47942","55818","3113","35","30","15","30","0","0","0","0","(None)","(None)","(None)","(None)","35073","70","1","1","1","2020","5","27"
"Black 1.sav @ [02] (BOX 2)-14: 0044 - GLOOM - 5258C9D74967.pk5","GLOOM","Gloom","Sassy","F","4118","Poison","Chlorophyll","Poison Powder","Stun Spore","Sleep Powder","Acid","(None)","73","41","46","59","53","30","Poké Transfer","(None)","Safari Ball","SEAN","Sapphire","English","True","C9D74967","C9D74967","6","0","7","26","10","27","17741","28","6","0","2","0","0","2","0","0","0","0","0","0","N/A","-1","1","0","0","0","28","0","False","False","False","False","47942","55818","3113","35","30","15","30","0","0","0","0","(None)","(None)","(None)","(None)","21080","70","1","1","1","2020","5","27"
